State,Policy_Date_Begin,Policy_Date_End,FamCapExist,FamCapExist_Notes,FamCapDate,FamCapDate_Notes,FamCapMonthChildExclu,FamCapMonthChildExclu_Notes,FamCapPrevExcluChild,FamCapPrevExcluChild_Notes,FamCapInclAfterXMonthsNonReceipt,FamCapInclAfterXMonthsNonReceipt_Notes,FamCapInclIfBornOrConceivedNonReceipt,FamCapInclIfBornOrConceivedNonReceipt_Notes,FamCapBenRedPerCappedChild,FamCapBenRedPerCappedChild_Notes,FamCapCappedChildInclElig,FamCapCappedChildInclElig_Notes,FamCapChildSupptIncExclu,FamCapChildSupptIncExclu_Notes,FamCapChildExemptIfNonconsensual,FamCapChildExemptIfNonconsensual_Notes,FamCapChildResidencyinUnitExempt,FamCapChildResidencyinUnitExempt_Notes,FamCapFirstChildtoMinorParExempt,FamCapFirstChildtoMinorParExempt_Notes,FamCapOtherExemptions,FamCapOtherExemptions_Notes,FamCapDatabookRecord,FamCapDatabookRecord_Notes,Notes
Delaware,1999/05/01,2000/05/31,Yes,,10/01/1995,,10,,"Always capped",,1,,conceived,,100,,Yes,,No,,Yes,,Yes,,No,"Babies born after 12/31/98 to teenage parents are not eligible for cash assistance, unless the parent is married or at least 18 years old.",n.a.,,"Yes, all",,"Babies denied cash assistance are eligible for Food Stamps, Medicaid and child care. Non-cash assistance services in the form of vouchers may be provided upon request for babies born to minor parents after 12/31/98, but will not be automatically given each month. Receipt is based on need. Assistance is paid through a protective payee to the minor parent's parent or the adult in the supervised living arrangement."
Delaware,2000/06/01,2002/04/30,Yes,,10/01/1995,,10,,"Always capped",,1,"This does not apply in months where cases are closed due to sanctions.",conceived,,100,,Yes,,No,,Yes,,Yes,,No,"Babies born after 12/31/98 to teenage parents are not eligible for cash assistance, unless the parent is married or at least 18 years old.",n.a.,,"Yes, all",,"Babies denied cash assistance are eligible for Food Stamps, Medicaid and child care. Non-cash assistance services in the form of vouchers may be provided upon request for babies born to minor parents after 12/31/98, but will not be automatically given each month. Receipt is based on need. Assistance is paid through a protective payee to the minor parent's parent or the adult in the supervised living arrangement."
Delaware,2002/05/01,2013/12/31,Yes,,10/01/1995,,10,,"Always capped",,1,"This does not apply in months where cases are closed due to sanctions.",conceived,,100,,Yes,,No,,Yes,,Yes,,No,"Babies born after 12/31/98 to teenage parents are not eligible for cash assistance, unless the parent is married or at least 18 years old.",n.a.,,"Yes, all",,"Babies denied cash assistance are eligible for Food Stamps, Medicaid and child care. Non-cash assistance services in the form of vouchers may be provided upon request for babies born to minor parents after 12/31/98, but will not be automatically given each month. A monthly voucher may be no more than $69, though multi-month vouchers can be issued up to $207. Receipt is based on need. Assistance is paid through a protective payee to the minor parent's parent or the adult in the supervised living arrangement."
Delaware,2014/01/01,2023/05/10,Yes,,10/01/1995,,10,,"Always capped",,1,"This does not apply in months where cases are closed due to sanctions.",conceived,,100,,Yes,,No,,Yes,,Yes,,No,"Babies born after 12/31/98 to teenage parents are not eligible for cash assistance, unless the parent is married or at least 18 years old.",n.a.,,"Yes, all",,"Babies denied cash assistance are eligible for Food Stamps, Medicaid and child care. Non-cash assistance services in the form of vouchers may be provided upon request for babies born to minor parents after 12/31/98, but will not be automatically given each month. A monthly voucher may be no more than $69, though multi-month vouchers can be issued up to $207. Receipt is based on need. Assistance is paid through a protective payee to the minor parent's parent or the adult in the supervised living arrangement."
Delaware,2023/05/11,Ongoing,No,,10/01/1995,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,"Babies born after 12/31/98 to teenage parents are not eligible for cash assistance, unless the parent is married or at least 18 years old.",n.a.,,"Yes, all",,"Non-cash assistance services in the form of vouchers may be provided upon request for babies born to minor parents after 12/31/98, but will not be automatically given each month. A monthly voucher may be no more than $69, though multi-month vouchers can be issued up to $207. Receipt is based on need. Assistance is paid through a protective payee to the minor parent's parent or the adult in the supervised living arrangement. Babies denied cash assistance are eligible for Food Stamps, Medicaid and child care."
"District of Columbia",1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
"District of Columbia",1997/01/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
"District of Columbia",1998/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
"District of Columbia",2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Florida,1996/01/01,1996/07/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Florida,1996/08/01,1998/03/31,Yes,,08/01/1996,,"Not in manual","The manual states, "" for the first child born to a recipient of TCA,...""","Always capped","If the individual reapplies for assistance after a break of six or more continuous months, the family cap will apply again to any child born more than 10 months from the date of reapplication.",6,,either,,50,"The first child subject to the family cap will be added to the unit at one half the benefit amount for adding additional persons. There is no increase in benefits for any subsequent children.",No,,Yes,"child support income is excluded",Yes,,Yes,"Only in cases of parent death, incapacity, incarceration or institutionalization for extended period.",Yes,,"Child whose parental custody has been legally transferred",,"Yes, all",,
Florida,1998/04/01,1998/12/31,Yes,,08/01/1996,,"Not in manual","The manual states, "" for the first child born to a recipient of TCA,...""","Always capped",,6,,either,,50,"The first child subject to the family cap will be added to the unit at one half the benefit amount for adding additional persons. There is no increase in benefits for any subsequent children.",No,,Yes,"child support income is excluded",Yes,"If a police report is filed within 30 days of the incident",Yes,"Only in cases of parent death, incapacity, incarceration or institutionalization for extended period.",Yes,,"Child whose parental custody has been legally transferred",,"Yes, all",,
Florida,1999/01/01,1999/07/31,Yes,,08/01/1996,,"Not in manual","The manual states, "" for the first child born to a recipient of TCA,...""","Always capped","If the individual reapplies for assistance after a break of six or more continuous months, the family cap will apply again to any child born more than 10 months from the date of reapplication.",6,,either,,50,"The first child subject to the family cap will be added to the unit at one half the benefit amount for adding additional persons. There is no increase in benefits for any subsequent children.",No,,Yes,"child support income is excluded",Yes,"If a police report is filed within 30 days of the incident",Yes,"Only in cases of parent death, incapacity, incarceration or institutionalization for extended period.",Yes,,"Child whose parental custody has been legally transferred",,"Yes, all",,
Florida,1999/08/01,2006/04/30,Yes,,08/01/1996,,10,,"Always capped","If the individual reapplies for assistance after a break of six or more continuous months, the family cap will apply again to any child born more than 10 months from the date of reapplication.",6,,either,,50,"The first child subject to the family cap will be added to the unit at one half the benefit amount for adding additional persons. There is no increase in benefits for any subsequent children.",Yes,,Yes,"child support income is excluded",Yes,"If a police report is filed within 30 days of the incident",Yes,"Only in cases of parent death, incapacity, incarceration or institutionalization for extended period.",Yes,,"Child whose parental custody has been legally transferred",,"Yes, all",,
Florida,2006/05/01,2013/12/31,Yes,,08/01/1996,,10,,"Always capped","If the individual reapplies for assistance after a break of six or more continuous months, the family cap will apply again to any child born more than 10 months from the date of reapplication.",6,,either,,50,"The first child subject to the family cap will be added to the unit at one half the benefit amount for adding additional persons. There is no increase in benefits for any subsequent children.",Yes,,Yes,"child support income is excluded",Yes,"If a police report is filed within 30 days of the incident",Yes,"Only in cases of parent death, incapacity, incarceration or institutionalization for extended period.",Yes,,"Child whose parental custody has been legally transferred. SSI mothers and individuals who received cash assistance in another state are not considered temporary cash assistance recipients for the purposes of determining the family cap.",,"Yes, all",,
Florida,2014/01/01,Ongoing,Yes,,08/01/1996,,10,,"Always capped","If the individual reapplies for assistance after a break of six or more continuous months, the family cap will apply again to any child born more than 10 months from the date of reapplication.",6,,either,,50,"The first child subject to the family cap will be added to the unit at one half the benefit amount for adding additional persons. There is no increase in benefits for any subsequent children.",Yes,,Yes,"child support income is excluded",Yes,"If a police report is filed within 30 days of the incident",Yes,"Only in cases of parent death, incapacity, incarceration or institutionalization for extended period.",Yes,,"Child whose parental custody has been legally transferred. SSI mothers and individuals who received cash assistance in another state are not considered temporary cash assistance recipients for the purposes of determining the family cap.",,"Yes, all",,
Georgia,1996/01/01,1996/12/31,Yes,,01/01/1994,,24,"A child born after 24 or more cumulative months of AFDC receipt and conceived in a month of receipt will not be eligible for increased AFDC benefits.","Always capped",,"Not in manual",,"Not in manual",,100,"The additional child increases the standard of need but not the family maximum. If the family has no income, the cash benefit will not increase. However, if the family has income, the benefit may increase, but cannot increase higher than the maximum payment for the family size excluding the capped child.",Yes,,No,,"Not in manual",,Yes,,No,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid."
Georgia,1997/01/01,1997/06/30,Yes,,01/01/1994,,24,"A child born after 24 or more cumulative months of AFDC receipt and conceived in a month of receipt will not be eligible for increased AFDC benefits.","Always capped",,"Not in manual",,"Not in manual",,100,,Yes,,No,,"Not in manual",,Yes,,No,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid."
Georgia,1997/07/01,1998/12/31,Yes,,01/01/1994,,10,,"Always capped",,"Not in manual",,"Not in manual",,100,"The additional child increases the standard of need but not the family maximum. If the family has no income, the cash benefit will not increase. However, if the family has income, the benefit may increase, but cannot increase higher than the maximum payment for the family size excluding the capped child.",Yes,,No,,"Not in manual",,Yes,,No,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid."
Georgia,1999/01/01,1999/08/31,Yes,,01/01/1994,,10,,"Always capped",,"Not in manual",,"Not in manual",,100,"The additional child increases the standard of need but not the family maximum. If the family has no income, the cash benefit will not increase. However, if the family has income, the benefit may increase, but cannot increase higher than the maximum payment for the family size excluding the capped child.",Yes,,No,,"Not in manual",,Yes,,No,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid."
Georgia,1999/09/01,2009/07/31,Yes,,01/01/1994,,10,,"Always capped",,"Not in manual",,"Not in manual",,100,"The additional child increases the standard of need but not the family maximum. If the family has no income, the cash benefit will not increase. However, if the family has income, the benefit may increase, but cannot increase higher than the maximum payment for the family size excluding the capped child.",Yes,,No,,Yes,,Yes,,No,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid."
Georgia,2009/08/01,2013/12/31,Yes,,01/01/1994,,10,,"Always capped",,"No Limit","Child is only capped if the mother was receiving cash assistance in the month the child was conceived.","Not in manual",,100,"The additional child increases the standard of need but not the family maximum. If the family has no income, the cash benefit will not increase. However, if the family has income, the benefit may increase, but cannot increase higher than the maximum payment for the family size excluding the capped child.",Yes,,No,,Yes,,Yes,,No,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid The birth of an additional child in the assistance unit is subject to the Family Cap rules only if it has received cash assistance in Georgia."
Georgia,2014/01/01,2023/04/30,Yes,,01/01/1994,,10,,"Always capped",,"No Limit","Child is only capped if the mother was receiving cash assistance in the month the child was conceived.","Not in manual",,100,"The additional child increases the standard of need but not the family maximum. If the family has no income, the cash benefit will not increase. However, if the family has income, the benefit may increase, but cannot increase higher than the maximum payment for the family size excluding the capped child.",Yes,,No,,Yes,,Yes,,No,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid The birth of an additional child in the assistance unit is subject to the Family Cap rules only if it has received cash assistance in Georgia."
Georgia,2023/05/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Guam,2022/01/01,Ongoing,Yes,,2000/01/01,,9,"Children are capped if born more than 9 months from the date of application. If a new applicant is pregnant at the time of application, the unborn child can be included in the assistance unit.","Always capped",,"not captured after December of 2013",,either,,100,,"not captured after December of 2013",,"Not in manual",,"not captured after December of 2013",,"not captured after December of 2013",,"not captured after December of 2013",,"not captured after December of 2013",,"Yes, all",,"New households through marriage or love unions are treated as one household where all income is counted. The household will be eligible for cash assistance provided the children have not previously met the family cap. However, additional new births and children are capped."
Hawaii,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Hawaii,1997/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Hawaii,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Idaho,1996/01/01,1997/06/30,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Idaho,1997/07/01,1999/11/30,No,"Idaho does have an implicit family cap since no matter what size the family is, the maximum benefit they can receive is $276.",n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Idaho,1999/12/01,2002/06/30,No,"Idaho does have an implicit family cap since no matter what size the family is, the maximum benefit they can receive is $293.",n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Idaho,2002/07/01,2013/12/31,No,"Idaho does have an implicit family cap since no matter what size the family is, the maximum benefit they can receive is $309.",n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Idaho,2014/01/01,Ongoing,No,"Idaho does have an implicit family cap since no matter what size the family is, the maximum benefit they can receive is $309.",n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Illinois,1996/01/01,1997/06/30,Yes,,01/01/1996,,10,,9,,3,"If assistance is interrupted due to income or marriage and conception occurs while not receiving AFDC then the new born child will not be subject to the family cap.",conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Medicaid and Food Stamps. Families which have been denied additional benefits due to the family cap are eligible for an additional 12 months of transitional child care and Medicaid."
Illinois,1997/07/01,1997/12/31,Yes,,01/01/1996,,10,,9,"In addition to not receiving benefits for 9 months, the unit must also have not had an increase in the Payment Level due to the birth of a baby while previously receiving TANF.",3,"If assistance is interrupted due to income or marriage and conception occurs while not receiving AFDC then the new born child will not be subject to the family cap.",conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Medicaid and Food Stamps. Families which have been denied additional benefits due to the family cap are eligible for an additional 12 months of transitional child care and Medicaid."
Illinois,1998/01/01,1998/12/31,Yes,,01/01/1996,,10,,9,"In addition to not receiving benefits for 9 months, the unit must also have not had an increase in the Payment Level due to the birth of a baby while previously receiving TANF.",3,"If assistance is interrupted due to income or marriage and conception occurs while not receiving AFDC then the new born child will not be subject to the family cap.",conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Medicaid and Food Stamps. Families which have been denied additional benefits due to the family cap are eligible for an additional 12 months of transitional child care and Medicaid."
Illinois,1999/01/01,1999/12/31,Yes,,01/01/1996,,10,,9,"In addition to not receiving benefits for 9 months, the unit must also have not had an increase in the Payment Level due to the birth of a baby while previously receiving TANF.",3,"If assistance is interrupted due to income or marriage and conception occurs while not receiving AFDC then the new born child will not be subject to the family cap.",conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Medicaid and Food Stamps. Families which have been denied additional benefits due to the family cap are eligible for an additional 12 months of transitional child care and Medicaid."
Illinois,2000/01/01,2003/12/31,Yes,,01/01/1996,,10,,9,"In addition to not receiving benefits for 9 months, the unit must also have not had an increase in the Payment Level due to the birth of a baby while previously receiving TANF.",3,"If assistance is interrupted due to income or marriage and conception occurs while not receiving AFDC then the new born child will not be subject to the family cap.",conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Medicaid and Food Stamps. Families which have been denied additional benefits due to the family cap are eligible for an additional 12 months of transitional child care and Medicaid. Families are still eligible for assistance if the eligible children become ineligible (moving or aging out) and the only child remaining is capped. With one adult, they are eligible for the adult-only payment level, and with two adults, they are eligible for a 2-person adult and child payment level."
Illinois,2004/01/01,2007/06/30,No,"The state removed the family cap policy; children born after 1/1/04 are not subject to the family cap. All children born between 1/1/96 and 1/1/04 who have been capped will continue to be subject to the cap until they meet one of the conditions necessary to lift the cap.",01/01/1996,,10,,9,"In addition to not receiving benefits for 9 months, the unit must also have not had an increase in the Payment Level due to the birth of a baby while previously receiving TANF.",3,"If assistance is interrupted due to income or marriage and conception occurs while not receiving AFDC then the new born child will not be subject to the family cap.",conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Medicaid and Food Stamps. Families which have been denied additional benefits due to the family cap are eligible for an additional 12 months of transitional child care and Medicaid. Families are still eligible for assistance if the eligible children become ineligible (moving or aging out) and the only child remaining is capped. With one adult, they are eligible for the adult-only payment level, and with two adults, they are eligible for a 2-person adult and child payment level."
Illinois,2007/07/01,2013/12/31,No,"The state removed the family cap policy; children born after 1/1/04 are not subject to the family cap. All children born between 1/1/96 and 1/1/04 who have been capped will continue to be subject to the cap until they meet one of the conditions necessary to lift the cap.",n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Illinois,2014/01/01,Ongoing,No,"The state removed the family cap policy; children born after 1/1/04 are not subject to the family cap. All children born between 1/1/96 and 1/1/04 who have been capped will continue to be subject to the cap until they meet one of the conditions necessary to lift the cap.",n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Indiana,1996/01/01,1996/12/31,Yes,,05/01/1995,,10,,"The child is always capped",,"Not in manual",,conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,
Indiana,1996/01/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Indiana,1997/01/01,1997/03/31,Yes,,05/01/1995,,10,,"The child is always capped",,"Not in manual",,conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,
Indiana,1997/04/01,1997/12/31,Yes,,05/01/1995,,10,,"The child is always capped",,"Not in manual",,conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,1998/01/01,1998/12/31,Yes,,05/01/1995,,10,,"The child is always capped",,"Not in manual",,conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,1998/01/01,1998/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Indiana,1999/01/01,1999/12/31,Yes,,05/01/1995,,10,,"The child is always capped",,"Not in manual",,conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,1999/01/01,2001/03/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Indiana,2000/01/01,2000/12/31,Yes,,05/01/1995,,10,,"The child is always capped",,1,"A child born during non-receipt is not subject to the family cap.",conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,2001/01/01,2001/12/31,Yes,,05/01/1995,,10,,"The child is always capped",,1,"A child born during non-receipt is not subject to the family cap.",conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,2002/01/01,2013/12/31,Yes,,05/01/1995,,10,,"Always capped",,1,"A child born during non-receipt is not subject to the family cap.",conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,2014/01/01,2017/02/28,Yes,,05/01/1995,,10,,"Always capped",,1,"A child born during non-receipt is not subject to the family cap.",conceived,"Any child conceived in a month in which the parent was not a recipient is not capped.",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,2017/03/01,2023/08/14,Yes,,05/01/1995,,10,,"Always capped",,1,"A child born during non-receipt is not subject to the family cap.",conceived,"Any child conceived in a month in which the parent was not a recipient is not capped, unless non-receipt is a result of a non-compliance sanction. .",100,,Yes,,No,,Yes,,Yes,,Yes,,"Babies born with a substantial physical or mental disability are exempt from the family cap.",,"Yes, all",,
Indiana,2023/08/15,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Iowa,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Iowa,1997/01/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Iowa,1998/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Iowa,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Kansas,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Kansas,1997/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Kansas,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Kentucky,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Kentucky,1997/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Kentucky,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Louisiana,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Louisiana,1997/01/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Louisiana,1998/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Louisiana,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Maine,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Maine,1997/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Maine,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Maryland,1996/01/01,1996/03/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Maryland,1996/04/01,1996/12/31,Yes,"The money that would have gone to the family for the additional child will instead go to a third party (church, charity org., relative, etc.) to purchase necessary care requirements for the affected child.",04/01/1996,,10,,"always capped","The benefit for the ""capped"" child is always paid to a third party.",n.a.,,n.a.,,100,,No,"Capped child included in Food Stamp unit and is still eligible for Medicaid",Yes,,Yes,,Yes,"If the child is placed by social services or lives with a legal guardian",Yes,,n.a.,,"Yes, all",,
Maryland,1997/01/01,1997/01/31,Yes,"The money that would have gone to the family for the additional child will instead go to a third party (church, charity org., relative, etc.) to purchase necessary care requirements for the affected child.",04/01/1996,,10,,"always capped","The benefit for the ""capped"" child is always paid to a third party.",n.a.,,n.a.,,100,,No,"Capped child included in Food Stamp unit and is still eligible for Medicaid, food stamps and child care assistance",Yes,,Yes,,Yes,"If the child is placed by social services or lives with a legal guardian",Yes,,n.a.,,"Yes, all",,
Maryland,1997/02/01,1997/12/31,Yes,"The money that would have gone to the family for the additional child will instead go to a third party (church, charity org., relative, etc.) to purchase necessary care requirements for the affected child.",04/01/1996,,10,,"Always capped","The benefit for the ""capped"" child is always paid to a third party.",n.a.,,n.a.,,100,,No,"Capped child included in Food Stamp unit and is still eligible for Medicaid, food stamps and child care assistance",Yes,,Yes,,Yes,"If the child is placed by social services or lives with a legal guardian",Yes,,"The first child born to a recipient is exempted.",,"Yes, all",,
Maryland,1998/01/01,1998/12/31,Yes,"The money that would have gone to the family for the additional child will instead go to a third party (church, charity org., relative, etc.) to purchase necessary care requirements for the affected child.",04/01/1996,,10,,"Always capped","The benefit for the ""capped"" child is always paid to a third party.",n.a.,,n.a.,,100,,No,"Capped child included in Food Stamp unit and is still eligible for Medicaid, food stamps and child care assistance",Yes,,Yes,,Yes,"If the child is placed by social services or lives with a legal guardian",Yes,,"The first child born to a recipient is exempted.",,"Yes, all",,
